director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Kevin Smith,Will Ferrell,Shannon Elizabeth,Jason Mewes,Comedy,jay and silent bob strike b
Michael Bay,Scarlett Johansson,Steve Buscemi,Djimon Hounsou,Action Adventure Romance Sci-Fi Thriller,the isl
Daniel Sackheim,Chris Noth,Bruce Dern,Trevor Morgan,Crime Drama Mystery Thriller,the glass ho
Ethan Coen,Scarlett Johansson,Channing Tatum,Alden Ehrenreich,Comedy Mystery,"hail, caes"
Harry Elfont,Rosario Dawson,Paulo Costanzo,Aries Spears,Comedy Music,josie and the pussyc
Gary Fleder,Jason Statham,James Franco,Frank Grillo,Action Crime Drama Thriller,homefr
Uli Edel,Richard E. Grant,Jim Carter,Alice Krige,Adventure Comedy Family Fantasy,the little vamp
David O. Russell,Naomi Watts,Lily Tomlin,Isabelle Huppert,Comedy,i heart huckab
Fred Dekker,CCH Pounder,Rip Torn,Mako,Action Crime Sci-Fi Thriller,roboco
Brian Trenchard-Smith,Michael Biehn,Udo Kier,Franco Nero,Action Adventure Fantasy Sci-Fi Thriller,megiddo: the omega cod
Blake Edwards,Rock Hudson,Vernon Dobtcheff,Jeremy Kemp,Comedy Drama Musical Romance War,darling l
Hugh Wilson,Brendan Fraser,Alex Rocco,Eric Idle,Comedy Family Romance,dudley do-ri
Camille Delamarre,Ed Skrein,Noémie Lenoir,Radivoje Bukvic,Action Crime Thriller,the transporter refue
Laurence Dunmore,Johnny Depp,Jack Davenport,Richard Coyle,Drama Romance,the libert
Paul Verhoeven,Michiel Huisman,Sebastian Koch,Christian Berkel,Drama Thriller War,black b
Christian Carion,Gary Lewis,Dany Boon,Ian Richardson,Drama History Music Romance War,joyeux n
David Palmer,Bradley Cooper,Tom Arnold,Beau Bridges,Action Comedy Romance,hit and 
Callie Khouri,Stephen Root,Ted Danson,Roger Cross,Comedy Crime Thriller,mad mo
Rowan Joffe,Colin Firth,Ben Crompton,Anne-Marie Duff,Drama Mystery Thriller,before i go to sl
William Friedkin,Roy Scheider,Joe Spinell,Amidou,Adventure Drama Thriller,sorce
John Curran,Robert De Niro,Milla Jovovich,Frances Conroy,Drama Thriller,st
Laurent Tirard,Romain Duris,Ludivine Sagnier,Fabrice Luchini,Comedy History,moli
Scott Cooper,Christian Bale,Sam Shepard,Dendrie Taylor,Crime Drama Thriller,out of the furn
Tony Gilroy,Tom Wilkinson,Denis O'Hare,Sydney Pollack,Crime Drama Mystery Thriller,michael clay
Peter Segal,Wilford Brimley,Bradley Whitford,Sela Ward,Adventure Comedy,my fellow americ
Mark Pellington,Jeff Bridges,Spencer Treat Clark,Hope Davis,Crime Drama Thriller,arlington r
Juan José Campanella,Pablo Rago,Diego Ramos,Gabriel Almirón,Adventure Animation Family Sport,underd
Woody Allen,Ornella Muti,Judy Davis,Alessandra Mastronardi,Comedy Romance,to rome with l
Clint Eastwood,Clint Eastwood,Warren Clarke,Kenneth Colley,Action Adventure Thriller,fire
Trey Parker,Minnie Driver,Eric Idle,Trey Parker,Animation Comedy Fantasy Musical,south park: bigger longer & un
Frank Oz,Peter Dinklage,Ewen Bremner,Kris Marshall,Comedy,death at a fune
Stuart Gillard,Paige Turco,John Aylward,Matt Hill,Action Adventure Comedy Family Fantasy Sci-Fi,teenage mutant ninja turtles 
Brian Robbins,Keanu Reeves,D.B. Sweeney,DeWayne Warren,Drama Sport,hardb
David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Comedy Drama Romance,silver linings playb
Richard LaGravenese,Hunter Parrish,Scott Glenn,Imelda Staunton,Biography Crime Drama,freedom writ
Tyler Perry,Omari Hardwick,Loretta Devine,Kimberly Elise,Drama,for colored gi
Louis Leterrier,Jason Statham,Qi Shu,Matt Schulze,Action Crime Thriller,the transpor
Jeff Wadlow,Djimon Hounsou,Neil Brown Jr.,Leslie Hope,Action Drama Sport,never back d
Katt Shea,Jason London,Rachel Blanchard,Eddie Kaye Thomas,Horror Sci-Fi Thriller,the rage: carri
unknown,Chris Harrison,unknown,unknown,Game-Show Reality-TV Romance,the bachelor         
Sam Mendes,Catherine O'Hara,Jim Gaffigan,Carmen Ejogo,Comedy Drama Romance,away we
Joshua Michael Stern,Madeline Carroll,Judge Reinhold,Nathan Lane,Comedy Drama,swing v
Brad Silberling,Jake Gyllenhaal,Holly Hunter,Bob Clendenin,Drama Romance,moonlight m
Tomas Alfredson,Benedict Cumberbatch,Colin Firth,Gary Oldman,Drama Mystery Thriller,tinker tailor soldier 
John Duigan,Elaine Hendrix,Jill Hennessy,Sarah Wynter,Comedy Drama Romance,mo
Jodie Foster,Jennifer Lawrence,Cherry Jones,Riley Thomas Stewart,Drama,the bea
Colin Higgins,Dolly Parton,Barry Corbin,Dom DeLuise,Comedy Musical,the best little whorehouse in te
David Cronenberg,Jennifer Jason Leigh,Sarah Polley,Callum Rennie,Horror Sci-Fi Thriller,exist
Steven Spielberg,Harrison Ford,Karen Allen,William Hootkins,Action Adventure,raiders of the lost 
Chris Columbus,Macaulay Culkin,Kieran Culkin,Devin Ratray,Adventure Comedy Family,home alone 2: lost in new y
Steven Spielberg,Bob Balaban,Teri Garr,Melinda Dillon,Drama Sci-Fi,close encounters of the third k
Jim Sonzero,Ian Somerhalder,Christina Milian,Rick Gonzalez,Drama Horror Sci-Fi Thriller,pu
Tony Scott,Dean Stockwell,Judge Reinhold,Ronny Cox,Action Comedy Crime Thriller,beverly hills cop
Adam Shankman,Angus T. Jones,Kimberly J. Brown,Steve Harris,Comedy,bringing down the ho
Jonathan Demme,Anthony Hopkins,Scott Glenn,Anthony Heald,Crime Drama Horror Thriller,the silence of the la
Penelope Spheeris,Tia Carrere,Lara Flynn Boyle,Kurt Fuller,Comedy Music,wayne's wo
Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,Action Comedy Documentary,jackass
Jeannot Szwarc,Roy Scheider,Murray Hamilton,Joseph Mascolo,Adventure Horror Thriller,jaw
Raja Gosnell,Jamie Lee Curtis,Nick Zano,Ali Hillis,Adventure Comedy Drama Family Romance,beverly hills chihua
James Wan,Mackenzie Foy,Lili Taylor,Hayley McFarland,Horror Mystery Thriller,the conjur
Brian Levant,Nia Long,Tracy Morgan,Jay Mohr,Adventure Comedy Family Romance,are we there y
Ben Falcone,Gary Cole,Mark Duplass,Ben Falcone,Comedy,ta
D.J. Caruso,Sarah Roemer,Aaron Yoo,Jose Pablo Cantillo,Drama Mystery Thriller,distur
Richard Linklater,Miranda Cosgrove,Sarah Silverman,Mike White,Comedy Music,school of r
Paul W.S. Anderson,Christopher Lambert,Cary-Hiroyuki Tagawa,Bridgette Wilson-Sampras,Action Adventure Fantasy Sci-Fi Thriller,mortal kom
Paul McGuigan,Jessica Paré,Christopher Cousins,Mark Camacho,Drama Mystery Romance Thriller,wicker p
Keenen Ivory Wayans,Busy Philipps,Jaime King,Brittany Daniel,Comedy Crime,white chi
Alexander Payne,Shailene Woodley,Nick Krause,Beau Bridges,Comedy Drama,the descenda
Andrew Davis,Tim Blake Nelson,Zane Holtz,Ski Carr,Adventure Comedy Drama Family Mystery,ho
Julie Anne Robinson,Kelly Preston,Bobby Coleman,Melissa Ordway,Drama Family Music Romance,the last s
Steve McQueen,Quvenzhané Wallis,Scoot McNairy,Taran Killam,Biography Drama History,12 years a sl
Charles Stone III,Leonard Roberts,Nick Cannon,Jason Weaver,Comedy Drama Music Romance,druml
Tyler Perry,Michael Jai White,Cicely Tyson,Tasha Smith,Comedy Drama Romance,why did i get married t
Tim Burton,Johnny Depp,Dianne Wiest,Conchata Ferrell,Fantasy Romance,edward scissorha
Thea Sharrock,Sam Claflin,Emilia Clarke,Brendan Coyle,Drama Romance,me before 
Tyler Perry,John Amos,Tom Arnold,Romeo Miller,Comedy Crime Drama,madea's witness protect
William Friedkin,Roy Scheider,Fernando Rey,Tony Lo Bianco,Action Crime Drama Thriller,the french connect
Jon Lucas,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,Comedy,bad m
Aaron Seltzer,Alyson Hannigan,Carmen Electra,Fred Willard,Comedy Romance,date mo
Robin Budd,Roger Rees,Rob Paulsen,Spencer Breslin,Adventure Animation Family Fantasy,return to never l
Ava DuVernay,David Oyelowo,Tom Wilkinson,Oprah Winfrey,Biography Drama History,se
Steve Trenbirth,Haley Joel Osment,Phil Collins,Tony Jay,Adventure Animation Family Musical,the jungle boo
Stephen Kay,Barry Watson,Skye McCole Bartusiak,Charles Mesure,Drama Horror Mystery Thriller,boogey
Mennan Yapo,Nia Long,Amber Valletta,Marc Macaulay,Drama Mystery Thriller,premonit
Jun Falkenstein,Kath Soucie,John Fiedler,Ken Sansom,Animation Comedy Drama Family Musical,the tigger mo
Jaume Collet-Serra,Jimmy Bennett,CCH Pounder,Aryana Engineer,Horror Mystery Thriller,orp
Boaz Yakin,Jay Hernandez,Joseph Julian Soria,Edgar Arreola,Adventure Family,
unknown,Lamman Rucker,David Mann,Denise Boutte,Comedy,meet the browns         
Jason Friedberg,David Carradine,Carmen Electra,Fred Willard,Adventure Comedy,epic mo
John Milius,William Smith,Mako,Sandahl Bergman,Adventure Fantasy,conan the barbar
Tom McCarthy,Billy Crudup,Jamey Sheridan,Brian d'Arcy James,Biography Crime Drama History,spotli
Neil LaBute,Jay Hernandez,Justin Chambers,Robert Pine,Crime Drama Thriller,lakeview terr
Takashi Shimizu,Sarah Michelle Gellar,Sarah Roemer,Matthew Knight,Horror Thriller,the grudg
Kevin Rodney Sullivan,Richard Lawson,James Pickens Jr.,Barry Shabaka Henley,Comedy Drama Romance,how stella got her groove b
Peter Hewitt,Keanu Reeves,George Carlin,Alex Winter,Adventure Comedy Fantasy Music Sci-Fi,bill & ted's bogus jour
Barry Levinson,Robin Williams,Tina Fey,Amy Poehler,Comedy Drama Romance Thriller,man of the y
Gary Nelson,Robert Forster,Maximilian Schell,Yvette Mimieux,Action Sci-Fi,the black h
Anton Corbijn,Violante Placido,Thekla Reuten,Filippo Timi,Crime Drama Thriller,the ameri
Gregory Nava,Jon Seda,Constance Marie,Jacob Vargas,Biography Drama Music,sel
Jason Friedberg,Diedrich Bader,Dave Foley,Anneliese van der Pol,Comedy,vampires s
Alejandro G. Iñárritu,Brad Pitt,Harriet Walter,Dermot Crowley,Drama,ba
Shawn Levy,Tina Fey,Abigail Spencer,Jane Fonda,Comedy Drama,this is where i leave 
John Patrick Shanley,Philip Seymour Hoffman,Meryl Streep,Carrie Preston,Drama Mystery,do
Trey Parker,Jeremy Shada,Maurice LaMarche,Trey Parker,Action Comedy,team america: world pol
John Luessenhop,Gunnar Hansen,Keram Malicki-Sánchez,Shaun Sipos,Horror Thriller,texas chainsaw
Jon Amiel,William McNamara,Holly Hunter,Harry Connick Jr.,Crime Drama Mystery Thriller,copy
Malcolm D. Lee,Marisa Saks,Snoop Dogg,Molly Shannon,Comedy,scary movi
Joshua Logan,Clint Eastwood,Lee Marvin,Ray Walston,Comedy Drama Musical Romance Western,paint your wa
Gus Van Sant,James Franco,Denis O'Hare,Lucas Grabeel,Biography Drama History,m
Kevin Reynolds,Peter Firth,Jan Cornet,María Botto,Action Adventure Drama Mystery,ri
Steve Beck,Isaiah Washington,Ron Eldard,Francesca Rettondini,Horror,ghost s
Todd Strauss-Schulson,Patton Oswalt,Thomas Lennon,Paula Garcés,Adventure Comedy,a very harold & kumar 3d christ
John McNaughton,Bill Murray,Robert Wagner,Jeff Perry,Crime Drama Mystery Thriller,wild thi
Nelson McCormick,Sela Ward,Paige Turco,Skyler Samuels,Crime Thriller,the stepfat
John Madden,Tom Wilkinson,Jesper Christensen,Romi Aboulafia,Drama Thriller,the d
Stephen Frears,Drake Bell,Lili Taylor,Lisa Bonet,Comedy Drama Music Romance,high fidel
Eric Valette,Johnny Lewis,Jason Beghe,Margaret Cho,Horror Mystery,one missed c
John Schlesinger,Joe Mantegna,Beverly D'Angelo,Philip Baker Hall,Crime Drama Thriller,eye for an 
Roger Donaldson,Jason Statham,Saffron Burrows,Daniel Mays,Crime Drama Romance Thriller,the bank 
Michel Gondry,Kate Winslet,Kirsten Dunst,Tom Wilkinson,Drama Fantasy Romance Sci-Fi,eternal sunshine of the spotless m
Andy Fickman,Jamie Lee Curtis,James Wolk,Christine Lakin,Comedy Family Romance,you ag
David Ayer,Keanu Reeves,Chris Evans,Noel Gugliemi,Action Crime Drama Thriller,street ki
Edgar Wright,Michael Smiley,Thomas Law,Jasper Levine,Action Comedy Sci-Fi,the world's 
Andrew Fleming,Kay Panabaker,Laura Harring,Tate Donovan,Comedy Crime Family Mystery Romance Thriller,nancy d
Michael Spierig,Jay Laga'aia,Damien Garvey,Tiffany Lamb,Action Horror Sci-Fi Thriller,daybreak
Jim Field Smith,Mike Vogel,Kim Shaw,Geoff Stults,Comedy Romance,she's out of my lea
Thomas Bezucha,Leighton Meester,Luke Bracey,Brett Cullen,Adventure Comedy Family Romance,monte ca
William Brent Bell,Adam Goldberg,Frankie Muniz,Samaire Armstrong,Horror Thriller,stay al
Simon Wincer,Alan Rickman,Tom Selleck,Ben Mendelsohn,Action Adventure Drama Romance Western,quigley down un
Anthony Bell,Kevin Sussman,Larry Miller,Christine Lakin,Adventure Animation Comedy Family Romance,alpha and om
Renny Harlin,Laura Ramsey,Kyle Schmid,Toby Hemingway,Action Fantasy Horror Thriller,the coven
Jessica Bendinger,Jeff Bridges,Vanessa Lengies,John Patrick Amedori,Comedy Drama Sport,stick
Robert Rodriguez,Jimmy Bennett,Leo Howard,Jake Short,Comedy Family Fantasy,sho
Gus Van Sant,Kurtwood Smith,Wayne Knight,Holland Taylor,Comedy Crime Drama,to die 
Henry Joost,Samira Wiley,Marc John Jefferies,Emily Meade,Adventure Crime Mystery Sci-Fi Thriller,ne
Ed Harris,Viggo Mortensen,James Gammon,Tom Bower,Crime Drama Western,appalo
John Carpenter,Sheryl Lee,Cary-Hiroyuki Tagawa,Maximilian Schell,Action Horror Thriller,vampi
unknown,Pablo Sevilla,unknown,unknown,Action Adventure Animation Family Fantasy,yu-gi-oh! duel monsters         
Alfred Hitchcock,Janet Leigh,Vera Miles,John Gavin,Horror Mystery Thriller,psy
Howard Deutch,Dane Cook,Taran Killam,Riki Lindhome,Comedy Romance,my best friend's g
Shana Feste,Alex Pettyfer,Bruce Greenwood,Rhys Wakefield,Drama Romance,endless l
Garry Marshall,Hector Elizondo,Zachary Gordon,Jane Fonda,Comedy Drama,georgia r
Steve Rash,Mako,Adam Arkin,Billy Barty,Comedy,under the rain
Richard Donner,Matthew Broderick,John Wood,Leo McKern,Adventure Comedy Drama Fantasy,ladyha
Mark Steven Johnson,Oliver Platt,Jan Hooks,Dana Ivey,Comedy Drama Family,simon bi
Mike Binder,Adam Sandler,Don Cheadle,John de Lancie,Drama,reign over
Sean Penn,Kristen Stewart,William Hurt,Hal Holbrook,Adventure Biography Drama,into the w
Todd Phillips,Jon Heder,Sarah Silverman,Jacinda Barrett,Comedy,school for scoundr
Michael J. Bassett,Radha Mitchell,Deborah Kara Unger,Martin Donovan,Adventure Drama Horror Mystery Thriller,silent hill: revelation
Robert Rodriguez,Quentin Tarantino,Salma Hayek,Cheech Marin,Crime Fantasy Horror,from dusk till d
Frank Nissen,Kath Soucie,Brenda Blethyn,John Fiedler,Animation Family Fantasy Mystery,pooh's heffalump mo
Jodie Foster,Robert Downey Jr.,Holly Hunter,Steve Guttenberg,Comedy Drama Romance,home for the holid
Stephen Chow,Shengyi Huang,Chi Ling Chiu,Qiu Yuen,Action Comedy Crime Fantasy,kung fu hus
unknown,Leah Remini,Mark Feuerstein,Sharon Lawrence,Comedy,fired up         
Peter Hastings,Haley Joel Osment,Alex Rocco,Stephen Root,Comedy Family Music Musical,the country be
Marc Forster,Mustafa Haidari,Shaun Toub,Khalid Abdalla,Drama,the kite run
Alejandro G. Iñárritu,Naomi Watts,Eddie Marsan,Danny Huston,Drama,21 gr
Paul Abascal,Cole Hauser,Tom Hollander,Kelly Carlson,Action Crime Drama Thriller,papara
Catherine Hardwicke,Kristen Stewart,Taylor Lautner,Anna Kendrick,Drama Fantasy Romance,twili
Chris Koch,Thomas Lennon,Lochlyn Munro,James Brolin,Comedy Romance,a guy th
Amy Heckerling,Andy Dick,Robert Miano,Zak Orth,Comedy Romance,lo
Michael Moore,Ronald Reagan,Michael Moore,Bernie Sanders,Crime Documentary News,capitalism: a love st
George Stevens,Martin Landau,Carroll Baker,José Ferrer,Biography Drama History,the greatest story ever t
Billy Ray,Julia Roberts,Michael Kelly,Joe Cole,Crime Drama Mystery Thriller,secret in their e
Jason Friedberg,Carmen Electra,Tony Cox,Ike Barinholtz,Comedy,disaster mo
Nimród Antal,Andrew Fiscella,Fred Ward,Lorna Raver,Action Crime Thriller,armo
Jon Amiel,Bill Murray,Peter Gallagher,Joanne Whalley,Action Comedy Crime Thriller,the man who knew too lit
Mark Mylod,Chris Evans,Ari Graynor,Ed Begley Jr.,Comedy Romance,what's your numb
James Mather,Joseph Gilgun,Vincent Regan,Jacky Ido,Action Adventure Sci-Fi Thriller,lock
Barry Levinson,Amy Poehler,Ariel Gade,Sam Lerner,Comedy,e
Mark Neveldine,Jason Statham,Clifton Collins Jr.,David Carradine,Action Crime Sci-Fi Thriller,crank: high volt
Woody Allen,Jim Broadbent,Chazz Palminteri,Dianne Wiest,Comedy Crime,bullets over broad
Michael O. Sajbel,James Callis,Tiffany Dupont,Nimrat Kaur,Biography Drama History,one night with the k
Phillip Noyce,Brendan Fraser,Tzi Ma,Holmes Osborne,Drama Mystery Romance Thriller War,the quiet ameri
Gore Verbinski,Nicolas Cage,Hope Davis,Michael Rispoli,Comedy Drama,the weather 
Walter Hill,Fisher Stevens,Wes Studi,Jon Seda,Action Crime Drama Sport,undispu
David Koepp,Aasif Mandvi,Dequina Moore,Jordan Carlos,Comedy Drama Fantasy Romance,ghost t
Renny Harlin,Taylor Cole,Ashley Scott,Nick Gomez,Action Crime Thriller,12 rou
Matt Reeves,Chloë Grace Moretz,Dylan Minnette,Kodi Smit-McPhee,Drama Fantasy Horror Mystery,let me
Charles T. Kanganis,Victor Wong,Dustin Nguyen,Don Stark,Action Comedy Family,3 ninjas kick b
Michel Gondry,Quinton Aaron,Mia Farrow,Melonie Diaz,Comedy,be kind rew
Stephen Frears,Bob Hoskins,Christopher Guest,Sarah Solemani,Comedy Drama Music War,mrs henderson prese
John Hillcoat,Kate Winslet,Norman Reedus,Clifton Collins Jr.,Action Crime Drama Thriller,tripl
Woody Allen,Woody Allen,Lynn Cohen,Judy Davis,Comedy,deconstructing ha
Damon Santostefano,Matthew Perry,Oliver Platt,David Ramsey,Comedy Romance,three to ta
John Wells,Bradley Cooper,Omar Sy,Riccardo Scamarcio,Comedy Drama,bu
Neil Jordan,Robert De Niro,Demi Moore,James Russo,Comedy Crime,we're no ang
Woody Allen,Natasha Lyonne,Gaby Hoffmann,Jeff DeRocker,Comedy Musical Romance,everyone says i love 
Frank Oz,Peter Dinklage,Ewen Bremner,Kris Marshall,Comedy,death at a fune
James Wan,Aisha Tyler,Kelly Preston,Edi Gathegi,Action Crime Thriller,death sente
Kirk Jones,Robert De Niro,James Frain,Brendan Sexton III,Adventure Drama,everybody's f
Bob Clark,Scott Baio,Vanessa Angel,Peter Wingfield,Comedy Family Sci-Fi,superbabies: baby geniuse
Les Mayfield,Miguel Ferrer,Susie Essman,Gigi Rice,Action Comedy Crime,the 
Les Mayfield,Callum Rennie,Will Patton,Cedric the Entertainer,Action Comedy Crime,code name: the clea
Michael Lembeck,Debbie Reynolds,Nia Vardalos,Dash Mihok,Comedy Crime Music,connie and ca
Bob Fosse,Sammy Davis Jr.,Ricardo Montalban,Ben Vereen,Comedy Drama Music Musical Romance,sweet char
Paul Thomas Anderson,Martin Dew,Katherine Waterston,Serena Scott Thomas,Comedy Crime Drama Mystery Romance,inherent v
Dave Borthwick,Jimmy Fallon,Kylie Minogue,Jon Stewart,Adventure Animation Comedy Family Fantasy,doo
Benson Lee,Chris Brown,Caity Lotz,Laz Alonso,Drama Music,battle of the y
unknown,LeVar Burton,Eric McCormack,Scott Wolf,Crime Drama Mystery Thriller,perception         
David Zucker,Chriss Anglin,Geoffrey Arend,Gary Coleman,Comedy Fantasy,an american ca
Robert Rodriguez,Alexa PenaVega,Demián Bichir,Marko Zaror,Action Comedy Crime Thriller,machete ki
Glen Morgan,Laura Harring,Ty Olsson,Jackie Burroughs,Drama Horror Sci-Fi Thriller,will
Fred Wolf,Kevin Alejandro,Ashley Scott,Jeff Garlin,Adventure Comedy,strange wildern
Mike Leigh,Jim Broadbent,Dexter Fletcher,Lesley Manville,Biography Comedy Drama History Music Musical,topsy-tu
Alejandro Monteverde,Tom Wilkinson,Cary-Hiroyuki Tagawa,Michael Rapaport,Drama War,little 
David Cronenberg,Michael Fassbender,Viggo Mortensen,Sarah Gadon,Biography Drama Thriller,a dangerous met
Richard Linklater,Robert Downey Jr.,Keanu Reeves,Rory Cochrane,Animation Drama Mystery Sci-Fi Thriller,a scanner dar
Michael Apted,Gerard Butler,Abigail Spencer,Leven Rambin,Biography Drama Sport,chasing maveri
Uwe Boll,Catherine Lough Haggquist,Darren Shahlavi,Karin Konoval,Horror Sci-Fi,alone in the d
Todd Graff,Scott Porter,Charlie Saxton,Ryan Donowho,Comedy Drama Family Music Romance,bands
Jonathan Glazer,Cameron Bright,Anne Heche,Danny Huston,Drama Mystery Romance Thriller,bi
J.C. Chandor,David Oyelowo,Ashley Williams,Albert Brooks,Action Crime Drama Thriller,a most violent y
Paul Gross,Landon Liboiron,Michael Greyeyes,Caroline Dhavernas,Drama History Romance War,passchenda
Marc Abraham,Dylan Authors,Bill Lake,Victoria Learn,Biography Drama,flash of gen
Todd Haynes,Christian Bale,Heath Ledger,Tyrone Benskin,Biography Drama Music,i'm not the
Mabrouk El Mechri,Henry Cavill,Bruce Willis,Óscar Jaenada,Action Thriller,the cold light of 
Rian Johnson,Zachary Gordon,Maximilian Schell,Nora Zehetner,Adventure Comedy Drama Romance,the brothers bl
Charlie Kaufman,Philip Seymour Hoffman,Jennifer Jason Leigh,Samantha Morton,Comedy Drama Romance,"synecdoche, new y"
Hayao Miyazaki,Minnie Driver,Jada Pinkett Smith,Billy Crudup,Adventure Animation Fantasy,princess monon
Jean-Paul Rappeneau,Isabelle Adjani,Peter Coyote,Virginie Ledoyen,Comedy Drama Mystery Romance Thriller War,bon voy
Nancy Walker,Steve Guttenberg,Randy Jones,Caitlyn Jenner,Biography Comedy Musical,can't stop the mu
John Hillcoat,Ray Winstone,Noah Taylor,Danny Huston,Crime Drama Western,the proposit
Angelo Pizzo,Donny Boaz,Finn Wittrock,Brent Anderson,Biography Drama Sport,cour
Richard Benjamin,Damon Wayans,Jane Krakowski,Paula Garcés,Comedy Music,marc
Kurt Wimmer,Christian Bale,Emily Watson,Sean Pertwee,Action Drama Sci-Fi Thriller,equilibr
Roger Spottiswoode,Radha Mitchell,Guang Li,Matthew Walker,Drama War,the children of huang 
James Gray,Charlize Theron,Ellen Burstyn,Faye Dunaway,Crime Drama Romance Thriller,the ya
Matthew Diamond,Chazz Palminteri,Garrett Clayton,Toni Braxton,Adventure Family Fantasy Musical,the oogieloves in the big balloon advent
Angelina Jolie Pitt,Brad Pitt,Angelina Jolie Pitt,Melvil Poupaud,Drama Romance,by the 
Katsuhiro Ôtomo,William Hootkins,Robin Atkin Downes,Rosalind Ayres,Action Adventure Animation Family Sci-Fi Thriller,steam
David Anspaugh,Gerard Butler,Costas Mandylor,Jimmy Jean-Louis,Drama History Sport,the game of their li
Andrew Jarecki,Ryan Gosling,Kirsten Dunst,Frank Langella,Crime Drama Mystery Romance Thriller,all good thi
Kevin Reynolds,Esai Morales,Jason Scott Lee,Sandrine Holt,Action Adventure Drama History Romance,rapa 
Stephen Chow,Jiao Xu,Yuqi Zhang,Chi Chung Lam,Comedy Family Sci-Fi,
Jean-Marie Poiré,Christian Clavier,Philippe Nahon,Marie-Anne Chazel,Comedy Family Fantasy Sci-Fi,les couloirs du temps: les visiteurs
Kevin Munroe,Marco St. John,Laura Spencer,Anita Briem,Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller,dylan dog: dead of ni
Daniel Algrant,Al Pacino,Richard Schiff,Mark Webber,Crime Drama Mystery,people i k
unknown,Peter Vaughan,George Coulouris,Ewen Solon,Drama Family,the doombolt chase         
Julie Taymor,Djimon Hounsou,Reeve Carney,Tom Conti,Comedy Drama Fantasy Romance,the temp
Alejandro Amenábar,Emma Watson,Aaron Ashmore,Julian Richings,Crime Drama Mystery Thriller,regress
Jane Clark,Necar Zadegan,Traci Dinwiddie,Elea Oberon,Romance Short,the to
Daniel Lee,Andy Lau,Sammo Kam-Bo Hung,Andy On,Action Drama History War,three kingdoms: resurrection of the dra
Mike Barker,Gerard Butler,Nicholas Lea,Callum Rennie,Crime Drama Thriller,shatte
Wayne Thornley,Leonard Nimoy,Phil LaMarr,Noureen DeWulf,Adventure Animation Comedy Family,zambe
Gnana Rajasekaran,Mani Bharathi,Michael Lieber,Kevin McGowan,Biography Drama History,ramanu
Tom Walsh,Joey D. Vieira,Maggie Wheeler,Jacqueline Lovell,Animation,dwegons and leprecha
Jonathan Jakubowicz,Robert De Niro,Jurnee Smollett-Bell,Edgar Ramírez,Action Biography Drama Sport,hands of st
James McTeigue,Milla Jovovich,Roger Rees,Robert Forster,Action Crime Thriller,survi
Scott Walker,Nicolas Cage,Radha Mitchell,Jodi Lyn O'Keefe,Crime Drama Mystery Thriller,the frozen gro
John Curran,Toby Jones,Sally Hawkins,Alan David,Drama Romance,the painted v
Uli Edel,Moritz Bleibtreu,Alexandra Maria Lara,Martina Gedeck,Action Biography Crime Drama,the baader meinhof comp
Kevin Costner,Mary McDonnell,Michael Spears,Maury Chaykin,Adventure Drama Western,dances with wol
Jake Kasdan,Justin Timberlake,John Michael Higgins,Phyllis Smith,Comedy,bad teac
Harold Becker,Al Pacino,Michael O'Neill,Ellen Barkin,Crime Drama Mystery Thriller,sea of l
Mark Rosman,Dan Byrd,Lin Shaye,Julie Gonzalo,Comedy Family Romance,a cinderella st
Wes Craven,David Arquette,W. Earl Brown,Roger Jackson,Horror Mystery,scr
Steve Beck,Shannon Elizabeth,Embeth Davidtz,F. Murray Abraham,Horror,thir13en gho
Stanley Kubrick,Scatman Crothers,Shelley Duvall,Joe Turkel,Drama Horror,the shin
Robert Zemeckis,Lea Thompson,Thomas F. Wilson,J.J. Cohen,Adventure Comedy Sci-Fi,back to the fut
William Malone,Jeffrey Combs,Peter Gallagher,Bridgette Wilson-Sampras,Horror Mystery Thriller,house on haunted h
Tyler Perry,Eric Mendenhall,Mary J. Blige,Hope Olaide Wilson,Comedy Drama,i can do bad all by mys
Rob Hawk,Kari J. Kramer,Erin O'Brien,Cabrina Collesides,Action Drama,fight val
Josh Gordon,Caroline Dhavernas,Scott Elrod,Kelli Barrett,Comedy Drama Romance,the swi
Shawn Levy,Taran Killam,David Agranov,David Moscow,Comedy Romance,just marr
Lee Tamahori,Mem Ferda,Dominic Cooper,Ludivine Sagnier,Biography Drama Thriller,the devil's dou
unknown,Nicole 'Snooki' Polizzi,Jenni 'Jwoww' Farley,Paul 'Pauly D' DelVecchio,Comedy Drama Reality-TV Romance,"gone, baby, gone         "
Britt Allcroft,Mara Wilson,Colm Feore,Peter Fonda,Adventure Comedy Drama Family Fantasy,thomas and the magic railr
Breck Eisner,Radha Mitchell,Glenn Morshower,John Aylward,Horror Thriller,the craz
Hayao Miyazaki,Bunta Sugawara,Ryûnosuke Kamiki,Miyu Irino,Adventure Animation Family Fantasy,spirited a
Alan Yuen,Andy Lau,Michael Wong,Terence Yin,Action Crime Thriller,firest
